Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
CLD002_partitions,0.06,0.313636,0.0,1.352729,0.176142,0.191305,0.272309,,-0.026934,0.146934
CLD002_numberline,27.88,7.44405,0.874559,26.483081,0.0,3.745273,1.0,,25.816653,29.943347
CLD002_negative_score,-0.012,0.06667,0.0,-1.272727,0.203115,-0.179991,0.24658,,-0.03048,0.00648
CLD002_raw_score,54.188,16.642856,0.204048,23.022913,0.0,3.255932,1.0,,49.574921,58.801079
CLD002_percentage_score,71.544,6.940716,0.003055,72.887653,0.0,10.307871,1.0,,69.620167,73.467833
CLD002_functional_complexity,26.03,7.81313,0.173557,23.557767,0.0,3.331571,1.0,,23.864351,28.195649
CLD002_organization_score,0.28,1.457423,0.0,1.358493,0.174307,0.19212,0.274216,,-0.12397,0.68397
CLD002_structural_integrity,9.988,0.06667,0.0,1059.333333,0.0,149.812357,1.0,,9.96952,10.00648
CLD002_decisions_activities_ratio,0.18074,0.082493,0.173502,15.492432,0.0,2.190961,1.0,,0.157874,0.203606
CLD002_lines_vs_average,0.59782,0.159555,0.876226,26.493855,0.0,3.746797,1.0,,0.553594,0.642046
CLD003_activities,13.46,4.12167,0.724987,23.09175,0.0,3.265667,1.0,,12.317552,14.602448
CLD003_decisions,2.32,1.132813,0.006237,14.48154,0.0,2.047999,1.0,,2.006006,2.633994
CLD003_forks,0.56,0.704504,0.0,5.620685,0.0,0.794885,0.999874,,0.364725,0.755275
CLD003_swimlanes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD003_detaches,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD003_options,0.18,0.560248,0.0,2.271838,0.023096,0.321286,0.622443,,0.02471,0.33529
CLD003_edges,0.06,0.313636,0.0,1.352729,0.176142,0.191305,0.272309,,-0.026934,0.146934
CLD003_notes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD003_partitions,0.06,0.313636,0.0,1.352729,0.176142,0.191305,0.272309,,-0.026934,0.146934
CLD003_numberline,27.16,6.828392,0.4979,28.125245,0.0,3.97751,1.0,,25.267301,29.052699
CLD003_negative_score,-0.051,0.302454,0.0,-1.192327,0.233133,-0.168621,0.222162,,-0.134834,0.032834
CLD003_raw_score,53.015,16.001742,0.127938,23.426991,0.0,3.313077,1.0,,48.579625,57.450375
