Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
CLD053,Weighted,0.515857,0.147907,0.0,,,,,,0.501362,0.530351,400,400,0,CLD
CLD091,Weighted,0.550023,0.145816,0.0,,,,,,0.535733,0.564312,400,400,0,CLD
CLD092,Weighted,0.548814,0.136952,0.0,,,,,,0.535393,0.562236,400,400,0,CLD
CLD093,Weighted,0.549054,0.147099,0.0,,,,,,0.534639,0.56347,400,400,0,CLD
DPS001,Jaccard,0.522358,0.21997,0.0,,,,,,0.500801,0.543915,400,400,0,DPS
DPS002,Jaccard,0.536189,0.213368,0.0,,,,,,0.515279,0.557099,400,400,0,DPS
DPS003,Jaccard,0.522251,0.208928,2e-06,,,,,,0.501777,0.542726,400,400,0,DPS
DPS051,Jaccard,0.48869,0.177825,5e-06,,,,,,0.471263,0.506117,400,400,0,DPS
DPS052,Jaccard,0.52381,0.218341,0.0,,,,,,0.502413,0.545207,400,400,0,DPS
DPS053,Jaccard,0.499984,0.199334,0.0,,,,,,0.48045,0.519519,400,400,0,DPS
DPS091,Jaccard,0.511421,0.215136,0.0,,,,,,0.490338,0.532504,400,400,0,DPS
DPS092,Jaccard,0.509793,0.206393,3.1e-05,,,,,,0.489567,0.530019,400,400,0,DPS
DPS093,Jaccard,0.487721,0.197233,6e-06,,,,,,0.468392,0.507049,400,400,0,DPS
DPS001,Levenshtein,0.707329,0.148108,0.0,,,,,,0.692815,0.721844,400,400,0,DPS
DPS002,Levenshtein,0.719919,0.141084,0.0,,,,,,0.706093,0.733745,400,400,0,DPS
DPS003,Levenshtein,0.708046,0.14365,0.0,,,,,,0.693969,0.722124,400,400,0,DPS
DPS051,Levenshtein,0.690683,0.125639,0.0,,,,,,0.678371,0.702996,400,400,0,DPS
DPS052,Levenshtein,0.702637,0.151396,0.0,,,,,,0.6878,0.717474,400,400,0,DPS
DPS053,Levenshtein,0.696177,0.140411,0.0,,,,,,0.682417,0.709937,400,400,0,DPS
DPS091,Levenshtein,0.702821,0.1439,0.0,,,,,,0.688719,0.716923,400,400,0,DPS
DPS092,Levenshtein,0.697359,0.142583,0.0,,,,,,0.683386,0.711332,400,400,0,DPS
DPS093,Levenshtein,0.687012,0.132122,0.0,,,,,,0.674065,0.69996,400,400,0,DPS
DPS001,TFIDF,0.603732,0.200545,0.0,,,,,,0.584079,0.623385,400,400,0,DPS
DPS002,TFIDF,0.615699,0.184675,2e-06,,,,,,0.597602,0.633797,400,400,0,DPS
DPS003,TFIDF,0.616342,0.184241,1e-06,,,,,,0.598287,0.634397,400,400,0,DPS
DPS051,TFIDF,0.58828,0.167267,1e-06,,,,,,0.571888,0.604672,400,400,0,DPS
DPS052,TFIDF,0.606152,0.198739,0.0,,,,,,0.586676,0.625628,400,400,0,DPS
DPS053,TFIDF,0.587087,0.190769,0.0,,,,,,0.568392,0.605783,400,400,0,DPS
DPS091,TFIDF,0.592466,0.194061,0.0,,,,,,0.573448,0.611483,400,400,0,DPS
DPS092,TFIDF,0.591116,0.184289,0.0,,,,,,0.573056,0.609176,400,400,0,DPS
DPS093,TFIDF,0.580646,0.177402,1.1e-05,,,,,,0.563261,0.598031,400,400,0,DPS
DPS001,MEAN,0.611145,0.181247,0.0,,,,,,0.593383,0.628906,400,400,0,DPS
DPS002,MEAN,0.623935,0.169802,0.0,,,,,,0.607295,0.640575,400,400,0,DPS
DPS003,MEAN,0.615546,0.169983,0.0,,,,,,0.598887,0.632204,400,400,0,DPS
DPS051,MEAN,0.589221,0.147872,0.0,,,,,,0.574729,0.603712,400,400,0,DPS
DPS052,MEAN,0.610868,0.18059,0.0,,,,,,0.593171,0.628566,400,400,0,DPS
DPS053,MEAN,0.594417,0.168418,0.0,,,,,,0.577913,0.610922,400,400,0,DPS
DPS091,MEAN,0.602237,0.175793,0.0,,,,,,0.58501,0.619464,400,400,0,DPS
DPS092,MEAN,0.599422,0.168195,0.0,,,,,,0.582939,0.615905,400,400,0,DPS
DPS093,MEAN,0.585127,0.158315,0.0,,,,,,0.569612,0.600642,400,400,0,DPS
DPS001,Weighted,0.610675,0.181985,0.0,,,,,,0.592841,0.62851,400,400,0,DPS
DPS002,Weighted,0.623417,0.170233,0.0,,,,,,0.606734,0.640099,400,400,0,DPS
DPS003,Weighted,0.615593,0.170421,0.0,,,,,,0.598892,0.632294,400,400,0,DPS
DPS051,Weighted,0.589159,0.148675,0.0,,,,,,0.574589,0.603729,400,400,0,DPS
DPS052,Weighted,0.610569,0.181299,0.0,,,,,,0.592803,0.628336,400,400,0,DPS
DPS053,Weighted,0.593961,0.169368,0.0,,,,,,0.577363,0.610558,400,400,0,DPS
DPS091,Weighted,0.601624,0.176528,0.0,,,,,,0.584325,0.618924,400,400,0,DPS
DPS092,Weighted,0.598905,0.168683,0.0,,,,,,0.582374,0.615436,400,400,0,DPS
DPS093,Weighted,0.584847,0.159021,0.0,,,,,,0.569263,0.600431,400,400,0,DPS
GBN001,Jaccard,0.340112,0.076775,0.177675,,,,,,0.325064,0.35516,100,100,0,GBN
GBN002,Jaccard,0.338371,0.070608,0.874964,,,,,,0.324532,0.35221,100,100,0,GBN
GBN003,Jaccard,0.338291,0.074448,0.349616,,,,,,0.323699,0.352883,100,100,0,GBN
GBN001,Levenshtein,0.515322,0.055098,0.166656,,,,,,0.504523,0.526121,100,100,0,GBN
